applicability,service,reporting_period,category_of_illegal_content,sub_category_other,scope,num_orders_against_illegal,num_items_in_orders,median_time_inform_authority_act,median_time_give_effect_act,num_orders_provide_info,median_time_inform_authority_info,median_time_give_effect_info
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_UNSAFE_PRODUCTS,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,TOTAL,0.0,0.0,0.0,0.0,4.0,0.0,279.48
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_COORDINATED_HARM,,TOTAL,0.0,0.0,0.0,0.0,4.0,0.0,279.48
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_HUMAN_EXPLOITATION,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_HUMAN_TRAFFICKING,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,TOTAL,0.0,0.0,0.0,0.0,1.0,22.51,40.29
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,TAX CRIME,TOTAL,0.0,0.0,0.0,0.0,1.0,22.51,40.29
All,Spotify Main,2025-01-01/2025-12-31,TOTAL,,"AT, […], SE",30.0,46.0,0.0,0.84,6.0,0.0,150.46
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,"AT, […], SE",,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_ANIMAL_HARM,,"AT, […], SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,"AT, […], SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.","AT, […], SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,"AT, […], SE",,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,"AT, […], SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,"AT, […], SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,"AT, […], SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,"AT, […], SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,"AT, […], SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.","AT, […], SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,SE,,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,"AT, […], SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,"AT, […], SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,"AT, […], SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING,,"AT, […], SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,"AT, […], SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,"AT, […], SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,DATA BREACH,SE,0.0,0.0,0.0,0.0,1.0,0.0,177.26
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,"AT, […], SE",,,,,,,
