applicability,service,reporting_period,category_tc,sub_category_other,num_measures_own_initiative,num_measures_automated,visibility_removal,visibility_disable,visibility_demoted,visibility_age_restricted,visibility_interaction_restricted,visibility_labelled,visibility_other,monetary_suspension,monetary_termination,monetary_other,service_suspension,service_termination,account_suspension,account_termination
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,,,,,,,,,,,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,,,,,,,,,,,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_VIOLATION_EU_LAW,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,,,,,,,,,,,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,7.0,7.0,7.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,369.0,355.0,268.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,101.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,16.0,13.0,11.0,1.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,4.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,,,,,,,,,,,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,7.0,7.0,7.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,2.0,2.0,2.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_TERRORIST_CONTENT,,224.0,159.0,223.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,1.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,,,,,,,,,,,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_PHISHING,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,,,,,,,,,,,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,305.0,288.0,305.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_SELF_MUTILATION,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_SUICIDE,,4362.0,4328.0,4362.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,Threatening or documenting acts of suicide or self-harm,152.0,152.0,152.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,,,,,,,,,,,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_PROHIBITED_PRODUCTS,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_UNSAFE_PRODUCTS,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,,,,,,,,,,,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_COORDINATED_HARM,,4.0,4.0,4.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,1034.0,990.0,1034.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_HUMAN_EXPLOITATION,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_HUMAN_TRAFFICKING,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,,,,,,,,,,,,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_ADULT_SEXUAL_MATERIAL,,79997.0,79950.0,79973.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,24.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_GEOGRAPHICAL_REQUIREMENTS,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_GOODS_SERVICES_NOT_PERMITTED,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_LANGUAGE_REQUIREMENTS,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_NUDITY,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
