applicability,service,reporting_period,category_of_illegal_content,sub_category_other,num_notices_received,num_notices_trusted_flaggers,num_items_in_notices,num_items_trusted_flaggers,median_time_to_action,median_time_to_action_tf,num_actions_law,num_actions_law_tf,num_actions_tc,num_actions_tc_tf
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,1.0,0.0,1.0,0.0,62.2,0.0,0.0,0.0,1.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_VIOLATION_EU_LAW,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,1.0,0.0,1.0,0.0,45.61,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,11.0,0.0,11.0,0.0,117.72,0.0,0.0,0.0,5.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_TERRORIST_CONTENT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,14.0,0.0,14.0,0.0,26.1,0.0,0.0,0.0,1.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,7013.0,0.0,5445.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,18.0,0.0,19.0,0.0,10.98,0.0,0.0,0.0,0.0,0.0
